name,location,rest_type,cuisines,cost,online_order,book_table,rate,votes,type
Eagles Pizza,Kalyan Nagar,Quick Bites,"Pizza, Italian",650.0,Yes,No,3.8,22,Delivery
Cafe Nukkad,Kalyan Nagar,Quick Bites,Fast Food,200.0,Yes,No,4.0,89,Delivery
Lassi Corner,Rammurthy Nagar,Beverage Shop,"Beverages, Desserts",200.0,Yes,No,2.9,28,Delivery
Just Bake,Hennur,Bakery,"Bakery, Desserts",400.0,Yes,No,2.9,19,Delivery
Nihas Hyderabadi Biryani,Nagawara,Quick Bites,"Andhra, Chinese, North Indian, South Indian",300.0,Yes,No,3.2,17,Delivery
American Bites,Nagawara,Quick Bites,Fast Food,450.0,Yes,No,3.0,7,Delivery
Cream & Fudge,Nagawara,Dessert Parlor,"Ice Cream, Desserts",250.0,Yes,No,3.1,6,Delivery
Breezy Cow Bar,Kalyan Nagar,Beverage Shop,Beverages,400.0,Yes,No,4.0,96,Delivery
The Milkshake Theory,Hennur,Beverage Shop,"Beverages, Fast Food",400.0,Yes,No,3.5,17,Delivery
Fine Food Restaurant,Hennur,Quick Bites,"North Indian, Chinese, Fast Food",500.0,Yes,No,3.4,26,Delivery
The Fiery Indian Kitchen,Nagawara,Casual Dining,North Indian,600.0,Yes,No,3.5,49,Delivery
Food Time Now,Rammurthy Nagar,"Takeaway, Delivery","North Indian, Mughlai, Biryani",500.0,Yes,No,3.1,10,Delivery
Meghana Biriyanis,Nagawara,Quick Bites,"Andhra, Biryani, South Indian, Chinese",400.0,Yes,No,3.9,375,Delivery
Countryside - The Taste of Chettinad,Kalyan Nagar,Casual Dining,"Seafood, Biryani, South Indian, Chettinad",900.0,Yes,Yes,3.9,293,Delivery
Hungry Vihaari,Kalyan Nagar,Casual Dining,"Continental, Burger, Salad, Pizza, Beverages",800.0,Yes,Yes,3.9,36,Delivery
Regency Park,Kammanahalli,Casual Dining,"North Indian, Chinese, Seafood, Rolls",700.0,Yes,No,3.6,147,
Kobe Sizzlers,Nagawara,Casual Dining,"American, Continental, Fast Food, Steak",1500.0,Yes,No,4.0,398,Delivery
Curries & Chillies,Kalyan Nagar,Quick Bites,Andhra,400.0,Yes,No,3.1,13,Delivery
UBQ By Barbeque Nation,Kalyan Nagar,Delivery,"North Indian, BBQ, Biryani, Kebab",450.0,Yes,No,3.1,14,Delivery
Oye Hoye,Kalyan Nagar,Quick Bites,North Indian,300.0,Yes,No,3.8,69,Delivery
Baskin Robbins,Nagawara,Food Court,"Ice Cream, Desserts",250.0,Yes,No,3.7,35,Delivery
Ambujam's Chettinad Mess,Banaswadi,"Quick Bites, Mess","South Indian, Chettinad",400.0,Yes,No,3.5,20,Delivery
Andhra Biryanis,Nagawara,Casual Dining,"Andhra, North Indian, Chinese, Biryani",550.0,Yes,No,4.0,469,Delivery
Bhagini,Banaswadi,Casual Dining,"Andhra, South Indian, Chinese, North Indian",800.0,Yes,No,2.3,119,Delivery
Chinnu's Mane Biryani,Banaswadi,Quick Bites,Biryani,300.0,Yes,No,3.5,10,Delivery
K.G.N Kabbab Corner,Kalyan Nagar,Quick Bites,"North Indian, Kebab",500.0,No,No,4.0,83,Delivery
Desi Grill,Rammurthy Nagar,Quick Bites,"Chinese, North Indian",400.0,Yes,No,3.0,60,Delivery
Zyara,HBR Layout,Casual Dining,"North Indian, Mughlai, Chinese",650.0,Yes,No,3.9,191,Delivery
Aroma Spice,Kalyan Nagar,Casual Dining,"Andhra, Chinese, North Indian, Seafood",800.0,Yes,Yes,3.7,83,Delivery
Le Spice Restaurant,Banaswadi,Casual Dining,"Arabian, Kerala, North Indian, Chinese, Beverages",700.0,Yes,No,3.4,122,Delivery
Kadai Restaurant,Hennur,Quick Bites,"North Indian, Mughlai, Chinese",350.0,Yes,No,2.9,27,Delivery
Pathaan Sir,Kammanahalli,Quick Bites,"Rolls, Chinese",300.0,Yes,No,3.3,58,Delivery
Hyderabad Biryaani Palace,Kammanahalli,Casual Dining,"Biryani, Hyderabadi, Chinese",750.0,Yes,No,3.7,301,Delivery
Kesar Sweet Shop And Fast Food,Kalyan Nagar,Quick Bites,"North Indian, South Indian, Chinese, Street Food, Mithai",500.0,No,No,3.9,47,Delivery
Delicacy,Kalyan Nagar,Casual Dining,"Chinese, Thai, Momos",500.0,Yes,Yes,4.1,448,Delivery
Jambudweepa Juice Bar,Banaswadi,Beverage Shop,"Beverages, Healthy Food",150.0,Yes,No,3.8,24,Delivery
Kettle & Kegs,Kammanahalli,Delivery,"Tea, Beverages",200.0,Yes,No,2.9,9,Delivery
Pizza Baker's,Nagawara,Quick Bites,"Pizza, Burger, Fast Food, Beverages",450.0,Yes,No,3.3,17,Delivery
Sri Banashankari Donne Biriyani,Banaswadi,Quick Bites,Biryani,150.0,Yes,No,3.8,74,Delivery
Sri Durga Nellore Mess,Banaswadi,Mess,"Andhra, South Indian, Biryani",350.0,Yes,No,3.3,351,Delivery
Mystery House,Banaswadi,Quick Bites,Fast Food,300.0,Yes,No,3.4,6,Delivery
Serranos Mexican Grill,Nagawara,Quick Bites,Mexican,400.0,Yes,No,3.7,86,Delivery
Global Flavors,Banaswadi,Casual Dining,"North Indian, Fast Food, Beverages",1000.0,Yes,Yes,3.5,131,Delivery
Kitchen King,Nagawara,Quick Bites,"Rolls, Fast Food, Biryani",400.0,Yes,No,3.8,306,Delivery
New Kadai,Kalyan Nagar,Casual Dining,"North Indian, Chinese",550.0,Yes,No,3.4,23,Delivery
Biriyani House,Nagawara,Casual Dining,"Andhra, North Indian, Biryani, Beverages",600.0,Yes,No,3.7,600,Delivery
Ranga's Paradise,Banaswadi,Quick Bites,South Indian,150.0,Yes,No,3.3,38,Delivery
M.M.A Kabab Rolls & Biriyani Center,Banaswadi,Quick Bites,"Arabian, Mughlai, Chinese, Kebab, Fast Food",400.0,Yes,No,3.6,92,Delivery
Hotel Kakatiya,Nagawara,Quick Bites,"Andhra, North Indian, Chinese, Biryani",350.0,Yes,No,3.7,49,Delivery
Momma's Pastries Fine Bakery And Cafe,Banaswadi,Bakery,"Bakery, Desserts, Fast Food",500.0,Yes,No,3.4,10,Delivery
2 Statez,Kalyan Nagar,Casual Dining,"Kerala, Seafood, South Indian, North Indian, Chinese",600.0,Yes,No,3.7,209,Delivery
Hongkong Noodles,Kalyan Nagar,Casual Dining,Chinese,750.0,Yes,No,3.8,80,Delivery
Cafezone,Banaswadi,Quick Bites,"Burger, Fast Food, Beverages",250.0,Yes,No,3.7,27,Delivery
Curries & Chillies,Banaswadi,"Takeaway, Delivery","Andhra, Biryani, Chinese",300.0,Yes,No,3.3,19,Delivery
Chaat Street,Kalyan Nagar,Quick Bites,"Street Food, North Indian",250.0,Yes,No,4.1,498,Delivery
29 Degrees North,Banaswadi,Quick Bites,"North Indian, Fast Food, Street Food",250.0,Yes,No,3.9,283,Delivery
Dr. Harry's Chick Blast,Rammurthy Nagar,Quick Bites,Continental,500.0,Yes,No,3.5,26,Delivery
Smoke - The Sizzler House,Nagawara,Food Court,"Continental, North Indian, Chinese, Steak",800.0,Yes,No,2.8,100,
Aroma's Hyderabad House,Nagawara,Casual Dining,"Mughlai, Biryani, North Indian",800.0,Yes,No,4.2,533,Delivery
American Desserts,Banaswadi,"Takeaway, Delivery","Desserts, Bakery",500.0,Yes,No,3.6,23,Delivery
Sufi Restaurant & Cafe,Banaswadi,Casual Dining,"Iranian, Mughlai, Chinese",800.0,Yes,No,3.7,105,Delivery
Chickpet Donne Biryani House,Kammanahalli,Quick Bites,Biryani,250.0,Yes,No,3.8,185,Delivery
Dhadoom,Kalyan Nagar,Quick Bites,Fast Food,400.0,Yes,No,3.8,22,Delivery
Hatti Kaapi,Nagawara,Quick Bites,"South Indian, Beverages",200.0,Yes,No,3.6,33,Delivery
Mainland China,Kalyan Nagar,Casual Dining,"Chinese, Momos",1100.0,Yes,Yes,4.5,1013,Delivery
T-hut Cafe,Banaswadi,Quick Bites,"Chinese, Beverages",300.0,Yes,No,3.6,21,Delivery
Natural Ice Cream,Kalyan Nagar,Dessert Parlor,"Ice Cream, Beverages",200.0,No,No,4.3,259,Delivery
Kolkata Famous Kati Rolls,Hennur,Kiosk,"Fast Food, Rolls",100.0,Yes,No,3.8,53,Delivery
Khyma Biryani,Kalyan Nagar,Casual Dining,Biryani,600.0,Yes,No,3.9,240,Delivery
Kolkata Rolls & Chowmein,Banaswadi,Quick Bites,Rolls,100.0,Yes,No,3.5,35,Delivery
Chung Wah,Banaswadi,Casual Dining,"Chinese, Thai, Momos, Vietnamese",900.0,Yes,No,3.3,145,Delivery
Sri Ruchi Restuarant,Banaswadi,Casual Dining,"Andhra, South Indian, North Indian",450.0,Yes,No,3.7,71,Delivery
Olive Garden,Kalyan Nagar,Casual Dining,"Arabian, North Indian, Chinese, Beverages",700.0,Yes,No,3.7,214,Delivery
Spice Corner,Nagawara,Casual Dining,"North Indian, Chinese, Biryani",800.0,Yes,Yes,3.5,16,Delivery
Mani's Dum Biryani,Kalyan Nagar,Casual Dining,"Biryani, Kebab",750.0,Yes,No,3.5,119,Delivery
Chichaba's Taj,Kalyan Nagar,Casual Dining,"Biryani, North Indian, Mughlai",600.0,Yes,No,3.8,289,Delivery
Tamarind,Rammurthy Nagar,Casual Dining,"Chinese, North Indian, Continental",750.0,Yes,No,2.7,227,
Chung's Chinese Corner,Kalyan Nagar,Casual Dining,Chinese,700.0,Yes,No,2.8,234,Delivery
Sreeraj Lassi Bar,Kammanahalli,"Dessert Parlor, Beverage Shop","Beverages, Desserts, Juices",150.0,Yes,No,4.0,120,Delivery
Rahhams,Kammanahalli,Casual Dining,"Mughlai, North Indian, Chinese",700.0,Yes,No,3.5,312,Delivery
Spice Kitchen,Kalyan Nagar,Casual Dining,"Andhra, Biryani, Seafood, North Indian",750.0,Yes,Yes,3.9,321,Delivery
The Juice Shop - Juicery And Kitchen,Kalyan Nagar,Quick Bites,"Beverages, Fast Food, Bakery",300.0,Yes,No,3.9,39,
Sri Sai 99 Variety Dosa,Nagawara,Quick Bites,South Indian,200.0,Yes,No,3.7,27,Delivery
Roll Over,Kalyan Nagar,Dessert Parlor,"Ice Cream, Beverages, Fast Food",500.0,Yes,No,4.1,174,Delivery
SV Indian Restaurant,Hennur,Quick Bites,"North Indian, Chinese",400.0,Yes,No,3.5,13,Delivery
Brewklyn Microbrewery,Kalyan Nagar,"Microbrewery, Casual Dining","American, South Indian, Thai, Pizza, Italian",1400.0,Yes,Yes,4.4,2329,Delivery
Teburu,Kalyan Nagar,Casual Dining,"Asian, Chinese, Japanese, BBQ",800.0,Yes,No,4.4,203,Delivery
Aqni,HBR Layout,Casual Dining,"North Indian, Mughlai, Biryani, Rolls",650.0,Yes,No,3.9,358,Delivery
OKI,Kammanahalli,Casual Dining,"Asian, European, Italian, Korean, Malaysian, Thai, Vietnamese, Chinese",1200.0,Yes,Yes,4.5,418,
Sultan's Biryani,Kalyan Nagar,Delivery,"Biryani, North Indian",700.0,Yes,No,2.9,38,Delivery
Float Brewery,Kalyan Nagar,"Microbrewery, Casual Dining",European,1800.0,No,Yes,4.3,416,
Swagatham Delux - Rayalaseema Spices,Nagawara,Casual Dining,"Biryani, South Indian, Chinese",600.0,Yes,No,3.4,24,Delivery
Coorg Lunch Home,Kammanahalli,Quick Bites,South Indian,300.0,Yes,No,3.6,57,Delivery
Thalassery Plaza,Hennur,Quick Bites,"Kerala, North Indian, Chinese",400.0,Yes,No,3.6,30,Delivery
Naina Nand Food Express,HBR Layout,Quick Bites,"North Indian, Chinese",300.0,Yes,No,3.3,8,Delivery
Noodles,Banaswadi,Casual Dining,"Chinese, Momos",500.0,Yes,No,3.8,98,Delivery
Huko Mukho Hangla,Kammanahalli,Quick Bites,"Bengali, Seafood",400.0,Yes,No,4.0,175,Delivery
7 Plates,Kalyan Nagar,Casual Dining,"North Indian, Mughlai, Rolls, Fast Food",600.0,Yes,No,3.6,519,Delivery
Kanthari,Kalyan Nagar,Quick Bites,"North Indian, Kerala, Chinese",400.0,Yes,No,3.9,93,Delivery
Donne Biriyani Mane,Kalyan Nagar,Quick Bites,"Biryani, Kebab",400.0,Yes,No,3.7,220,Delivery
Madurai Canteen,Nagawara,Quick Bites,"Chettinad, South Indian",200.0,Yes,No,2.9,38,Delivery
Saffron Vegetarian Cuisine,Banaswadi,Casual Dining,"North Indian, Continental, Chinese, Mexican, Italian",700.0,Yes,Yes,4.0,667,Delivery
Cafe P Square,Kalyan Nagar,Quick Bites,"Street Food, Beverages, Fast Food",250.0,Yes,No,3.8,26,Delivery
China Pearl,Kalyan Nagar,Casual Dining,"Chinese, Momos",1100.0,Yes,No,4.1,155,Delivery
Indie Fusion Multi Cuisine Restaurant,Kalyan Nagar,Quick Bites,"Fast Food, BBQ, Rolls, Arabian, North Indian",400.0,No,No,3.3,4,Delivery
Manasa Fishland,Kalyan Nagar,Casual Dining,"Seafood, South Indian, North Indian",650.0,Yes,No,4.1,201,Delivery
Wokanaka - The Casual Chinese Pitstop,Kalyan Nagar,Casual Dining,"Asian, Chinese, Thai, Seafood, Momos",500.0,Yes,Yes,4.1,223,Delivery
Maraheb Restaurant,Kalyan Nagar,Casual Dining,Arabian,1000.0,Yes,No,4.2,219,Delivery
Paradox Rest-O-Cafe,Kalyan Nagar,Casual Dining,"Continental, Steak",600.0,Yes,No,3.7,124,
Anand Sweets and Savouries,Kammanahalli,Quick Bites,"Mithai, Street Food",400.0,Yes,No,4.0,99,Delivery
The ThickShake Factory,Kalyan Nagar,Beverage Shop,"Beverages, Juices",350.0,No,No,4.1,107,Delivery
The French Corner,Kalyan Nagar,"Bakery, Dessert Parlor","Bakery, Desserts, Fast Food",400.0,No,No,3.4,10,Delivery
Punjab Bistro,Nagawara,Casual Dining,North Indian,500.0,Yes,No,4.0,165,Delivery
Hotel The Shack,Rammurthy Nagar,Casual Dining,"North Indian, Biryani",1000.0,Yes,No,3.9,116,Delivery
Night Food Joint,Nagawara,Quick Bites,"North Indian, Chinese",500.0,Yes,No,2.9,619,
Art of Biryani & Curries,Rammurthy Nagar,Delivery,Biryani,250.0,Yes,No,3.4,9,Delivery
Vera Italiano,Kalyan Nagar,Casual Dining,Italian,600.0,Yes,No,4.1,198,Delivery
Punjabi Tadka,Nagawara,Quick Bites,"North Indian, Chinese",400.0,Yes,No,3.4,31,Delivery
Rasapoorna,Nagawara,Casual Dining,"Andhra, Chinese, North Indian",500.0,Yes,No,3.2,6,Delivery
Chulha Chauki Da Dhaba,Kalyan Nagar,Casual Dining,North Indian,800.0,Yes,No,4.1,1208,Delivery
Aioli,Kalyan Nagar,Casual Dining,"Mediterranean, Continental, Italian, Salad",1400.0,No,Yes,4.2,783,Delivery
The Urban Roof,Kalyan Nagar,Casual Dining,"Italian, Chinese, Continental",800.0,Yes,No,3.9,77,Delivery
Kiko,Kammanahalli,"Takeaway, Delivery","Salad, Chinese",500.0,Yes,No,3.4,10,Delivery
Udupi Gardenia,Banaswadi,Quick Bites,South Indian,400.0,Yes,No,3.4,19,Delivery
S L V Food Joint,Kalyan Nagar,Quick Bites,"North Indian, Rolls",250.0,Yes,No,3.4,14,Delivery
Sherlock's Pub,Kalyan Nagar,"Pub, Casual Dining","Continental, North Indian, Chinese, Italian",1300.0,Yes,Yes,3.8,360,Delivery
Cake House - Story Cafe,Kalyan Nagar,Quick Bites,"Bakery, Desserts",650.0,No,No,3.9,78,Delivery
Khan Saheb Grills and Rolls,Kalyan Nagar,"Takeaway, Delivery","Fast Food, Rolls",350.0,Yes,No,3.1,34,Delivery
Venky's Xprs,Kalyan Nagar,"Quick Bites, Meat Shop","Fast Food, Raw Meats",350.0,No,No,3.7,35,Delivery
Marakachi,Kalyan Nagar,Casual Dining,Chettinad,600.0,Yes,No,3.7,83,Delivery
Eat Well,Banaswadi,"Takeaway, Delivery",North Indian,400.0,Yes,No,3.6,113,Delivery
FireHouse - Bar & Kitchen,HBR Layout,Pub,"Continental, American, Chinese, BBQ, Salad, Italian",1500.0,Yes,Yes,3.9,751,Delivery
Samprith Gowdru Mudde Hotel,Rammurthy Nagar,Quick Bites,South Indian,300.0,Yes,No,3.5,16,Delivery
Shanghai Times,HBR Layout,Quick Bites,Chinese,500.0,Yes,No,3.5,9,Delivery
Foodie's Affair,Nagawara,Quick Bites,"North Indian, Chinese",400.0,Yes,No,3.5,22,Delivery
Sanju's Super Kitchen,Kammanahalli,Delivery,"Fast Food, Burger, Pizza, Sandwich",400.0,Yes,No,3.3,5,Delivery
DinePost9,Banaswadi,Delivery,"North Indian, South Indian, Chinese, Continental",450.0,Yes,No,3.9,367,Delivery
Delicious Momos,Kalyan Nagar,Kiosk,"Street Food, Momos",200.0,No,No,3.9,48,Delivery
My China,Kalyan Nagar,Casual Dining,"Chinese, Asian, Malaysian",600.0,No,No,3.0,14,Delivery
Reddy's Naati Mane,Banaswadi,Quick Bites,"South Indian, BBQ",400.0,Yes,No,3.4,15,Delivery
Wok N Roll,Nagawara,Quick Bites,"Chinese, Momos",400.0,Yes,No,3.9,82,Delivery
Bangalore Vibes,Hennur,Quick Bites,"North Indian, Chinese",300.0,Yes,No,3.2,4,Delivery
"Cakes, Crumbs & Magic",Kalyan Nagar,Bakery,Bakery,300.0,No,No,3.3,4,Delivery
The Flavours,Kalyan Nagar,Casual Dining,"Kerala, Chinese, Arabian, Biryani",500.0,No,No,3.2,7,Delivery
Biryani Treats,Kalyan Nagar,Delivery,Biryani,650.0,No,No,2.6,45,Delivery
Chai Kada,Kalyan Nagar,"Beverage Shop, Quick Bites","Beverages, Fast Food",100.0,No,No,3.6,10,Delivery
Paper Cup Cafe,Kalyan Nagar,Quick Bites,"Tea, Coffee, Fast Food",400.0,No,No,3.5,11,Delivery
OvenTreats - Patisserie.Bistro,Kalyan Nagar,Casual Dining,American,1000.0,No,No,4.0,81,Delivery
Parantha Singh,Kalyan Nagar,Quick Bites,North Indian,300.0,No,No,3.7,31,Delivery
Crunchees Cafeteria,Kalyan Nagar,Quick Bites,Fast Food,400.0,No,No,3.4,11,Delivery
Nalukettu,HBR Layout,Delivery,Kerala,450.0,Yes,No,3.5,4,Delivery
Urban Kitchen,Banaswadi,Delivery,"Asian, North Indian",400.0,Yes,No,3.4,6,Delivery
Kabsa House,Kalyan Nagar,Casual Dining,North Indian,500.0,No,No,3.6,24,Delivery
Cafe China,Banaswadi,Quick Bites,Chinese,500.0,Yes,No,3.7,42,Delivery
Alibaba Cafe and Restaurant,Kalyan Nagar,Casual Dining,"Arabian, Middle Eastern",700.0,No,No,2.9,56,
Chaatimes,Nagawara,Quick Bites,"Street Food, Fast Food",200.0,Yes,No,3.6,27,Delivery
De3 - The Eatery,North Bangalore,Food Truck,Fast Food,250.0,No,No,3.1,13,Delivery
Al Karim,Kalyan Nagar,Casual Dining,"Mughlai, North Indian, Biryani, Chinese",600.0,No,No,3.7,90,
The Second Wife,Hennur,Casual Dining,"South Indian, Andhra, Biryani",800.0,Yes,No,3.7,68,Delivery
Silver Spoon Restaurant,Hennur,Quick Bites,"North Indian, Chinese, Continental",400.0,Yes,No,3.2,55,Delivery
Sri Banasankri Donne Biriyani,Kalyan Nagar,Quick Bites,Biryani,400.0,No,No,3.4,6,Delivery
Al Madhina Roll House,Kalyan Nagar,Quick Bites,"North Indian, Chinese",350.0,No,No,3.4,6,Delivery
Meat Up Barbecue & More,Kalyan Nagar,Quick Bites,"BBQ, Fast Food",400.0,No,No,3.7,17,Delivery
Sweet Chariot,Kalyan Nagar,Dessert Parlor,"Bakery, Fast Food",500.0,No,No,2.8,60,Delivery
Skanda Cafe,Hennur,Quick Bites,"South Indian, Chinese, North Indian",400.0,No,No,3.5,15,Delivery
Gundappa Donne Biryani Mane,Nagawara,Quick Bites,Biryani,300.0,Yes,No,3.4,55,Delivery
Didi's Kitchen,Nagawara,Delivery,"North Indian, Chinese, Fast Food",400.0,Yes,No,3.1,8,Delivery
New York Burrito,Banaswadi,Quick Bites,Mexican,400.0,No,No,3.1,7,Delivery
The Grill House,Kalyan Nagar,Casual Dining,"American, Mexican, Italian, Steak",1000.0,Yes,Yes,4.0,178,Delivery
Kolkata Famous Kati Rolls,Banaswadi,Kiosk,"Fast Food, Rolls",200.0,Yes,No,3.1,4,Delivery
Le Roll Cafe,Kammanahalli,Quick Bites,"Fast Food, Beverages, Rolls",300.0,Yes,No,3.9,52,Delivery
SS Bucket Biryani,Kammanahalli,Casual Dining,"Biryani, North Indian, Chinese",600.0,No,No,4.0,161,Delivery
Nandhana Palace,Kammanahalli,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese",800.0,No,Yes,4.1,737,Delivery
Raidan Restaurant,Kammanahalli,Casual Dining,"Arabian, Chinese, North Indian",450.0,No,No,3.9,247,Delivery
Angaar Indian Grill & Restaurant,HBR Layout,Casual Dining,"Arabian, Mughlai, North Indian, Chinese, Rolls",600.0,No,No,3.9,121,Delivery
Delicious Momos,Kammanahalli,Casual Dining,"Chinese, Momos",450.0,No,No,4.1,109,Delivery
Donne Biriyani Mane,Banaswadi,Quick Bites,Biryani,300.0,No,No,3.8,161,Delivery
Wolga Restaurant,Banaswadi,Casual Dining,"North Indian, Chinese, Biryani",600.0,No,No,3.4,6,Delivery
Fatty Chang,HBR Layout,Quick Bites,Chinese,300.0,Yes,No,3.2,4,Delivery
Whistling Tandoor,Banaswadi,Casual Dining,"Continental, Chinese, Fast Food",600.0,No,No,3.1,22,Delivery
SHAIK's DYNASTY,Kammanahalli,Casual Dining,"North Indian, Chinese",450.0,No,No,3.2,6,Delivery
Lassi Shop,Banaswadi,Beverage Shop,"Beverages, Ice Cream",200.0,No,No,3.5,7,Delivery
Hotel Hyderabadi,Nagawara,Quick Bites,"North Indian, Chinese",300.0,No,No,3.2,4,Delivery
Raees Restaurant,Banaswadi,Casual Dining,"Chinese, North Indian, South Indian",500.0,No,No,3.3,6,Delivery
Doner Bel,Kammanahalli,Quick Bites,"Turkish, Chinese",400.0,No,No,3.6,17,Delivery
CutePorkie,Kammanahalli,Quick Bites,Continental,400.0,No,No,3.3,4,Delivery
Papanna's Biriyani,Banaswadi,Quick Bites,"South Indian, Biryani",350.0,No,No,3.7,39,Delivery
Moghul's Restaurant,HBR Layout,Casual Dining,"Mughlai, North Indian, Chinese",700.0,Yes,No,3.0,49,Delivery
Kings Court,Kalyan Nagar,Casual Dining,"North Indian, Mughlai, Chinese",800.0,Yes,No,3.1,12,Delivery
Midnight Food Point,Kalyan Nagar,Delivery,"North Indian, Chinese, Mughlai, Biryani",500.0,Yes,No,2.7,37,Delivery
Delhiz Taste,Nagawara,Quick Bites,"North Indian, South Indian, Chinese",400.0,Yes,No,3.5,13,Delivery
Hoppipola,Kalyan Nagar,Lounge,"Continental, Fast Food, European",1200.0,Yes,Yes,4.4,816,Delivery
7Biryanis,Nagawara,Casual Dining,"Andhra, Biryani",600.0,Yes,No,3.2,4,Delivery
Namak,Nagawara,Quick Bites,"North Indian, Chinese",650.0,Yes,No,3.1,5,Delivery
The French Loaf,Kalyan Nagar,"Bakery, Quick Bites","Bakery, Desserts",300.0,Yes,No,3.5,17,Delivery
Twins,Kammanahalli,"Casual Dining, Bar","North Indian, Chinese, Continental",500.0,No,No,3.8,139,
Davis Bar And Restaurant,Kammanahalli,Bar,"North Indian, Finger Food, Chinese",700.0,No,No,3.0,31,Delivery
Cottage Loaf,Hennur,"Bakery, Quick Bites","Bakery, Fast Food",250.0,Yes,No,4.0,50,Delivery
The Pakoda Shop,Kalyan Nagar,Delivery,Street Food,150.0,Yes,No,3.4,12,Delivery
Farha Real Taste Of Kerala,Nagawara,Quick Bites,Kerala,300.0,Yes,No,3.1,6,Delivery
Lassi Corner,Kalyan Nagar,Beverage Shop,"Beverages, Sandwich",250.0,Yes,No,3.4,19,Delivery
Sangam Mess,Kammanahalli,Mess,"South Indian, Biryani, North Indian",300.0,No,No,4.2,216,Delivery
Abhiruchi,Kammanahalli,Casual Dining,"Andhra, Seafood, North Indian, Chinese",650.0,No,No,3.8,164,Delivery
Kannur Restaurant,Kammanahalli,Quick Bites,"South Indian, North Indian, Kerala",400.0,No,No,3.7,50,Delivery
Al Ameen Rolls Corner,Kammanahalli,Quick Bites,Rolls,200.0,No,No,3.7,16,Delivery
Mojo Pizza - 2X Toppings,Kammanahalli,Delivery,Pizza,600.0,Yes,No,4.1,91,Delivery
Have More,Kammanahalli,Casual Dining,North Indian,700.0,No,Yes,3.9,198,Delivery
Gold Line Breadz,Kammanahalli,"Bakery, Quick Bites","Bakery, Fast Food, Desserts",350.0,No,No,3.7,53,Delivery
Bucket Biriyani,Banaswadi,Quick Bites,"Biryani, North Indian, Chinese",600.0,No,No,3.5,14,Delivery
Shiva's Naram Garam,Banaswadi,Quick Bites,"North Indian, Chinese",250.0,No,No,3.3,4,Delivery
ILA Kitchen,Banaswadi,Casual Dining,Kerala,500.0,No,No,3.7,14,Delivery
Cafe Beirut,Kammanahalli,Quick Bites,Arabian,250.0,No,No,3.7,41,Delivery
Creamyum,HBR Layout,Delivery,"Bakery, Desserts",300.0,No,No,4.0,95,
Malabar Food Court,HBR Layout,Quick Bites,"Chinese, Kerala, South Indian",400.0,No,No,3.4,7,Delivery
Cluxi,Kammanahalli,Quick Bites,Fast Food,300.0,No,No,3.6,15,Delivery
Orchid Wine And Dine,Banaswadi,Casual Dining,"North Indian, Chinese, Mughlai",700.0,No,No,3.0,9,Delivery
Sandesh,Hennur,Sweet Shop,"Mithai, Street Food",400.0,No,No,3.1,16,Delivery
Rolls On Wheels,Banaswadi,Quick Bites,"Fast Food, Rolls, Momos",300.0,No,No,2.8,69,
Taste Of The Nation,Banaswadi,,North Indian,650.0,No,No,3.0,110,
Kartik,Banaswadi,"Casual Dining, Bar","Chinese, North Indian",700.0,No,No,3.4,6,Delivery
Leela's Kitchen,Banaswadi,Quick Bites,"Kerala, South Indian, North Indian, Chinese",400.0,No,No,3.8,104,Delivery
Dilli Highway,Kammanahalli,Delivery,North Indian,400.0,No,No,3.0,25,Delivery
Kenriy The Restro,Kammanahalli,Casual Dining,"Goan, Mangalorean",800.0,No,No,3.3,6,Delivery
Mazedaar,HBR Layout,Quick Bites,"North Indian, Chinese",300.0,No,No,3.2,10,Delivery
Shammah's,Hennur,Quick Bites,"Chinese, North Indian",300.0,No,No,3.3,21,Delivery
Sprinkled,Kammanahalli,"Takeaway, Delivery","Bakery, Desserts",500.0,No,No,3.8,17,Delivery
Hayaat,Kammanahalli,Casual Dining,"Kerala, Chinese, North Indian",600.0,No,No,3.4,7,Delivery
Pig Out,Kammanahalli,Quick Bites,South Indian,300.0,No,No,3.2,9,Delivery
Delish Chinese Fast Food,Banaswadi,Quick Bites,"Chinese, North Indian, Biryani",300.0,Yes,No,3.2,4,Delivery
Creme Bliss,HBR Layout,Bakery,"Bakery, Desserts",350.0,Yes,No,3.9,42,Delivery
Zam Zam Restaurant,Banaswadi,Quick Bites,"Chinese, North Indian",400.0,No,No,3.1,7,Delivery
Ahmad's Chicken Hut,Banaswadi,Quick Bites,"North Indian, Chinese",200.0,No,No,3.2,9,Delivery
Ocean's Delight,Kammanahalli,Casual Dining,"Seafood, Biryani, South Indian",700.0,No,No,3.4,13,Delivery
Sidekicks,Kammanahalli,Quick Bites,Continental,450.0,No,No,3.4,9,Delivery
Opt For Fitness,Kammanahalli,Delivery,"Continental, Healthy Food",400.0,No,No,3.4,7,Delivery
7 Spice,Banaswadi,Quick Bites,"Biryani, Chinese",250.0,No,No,3.4,5,Delivery
Flayvours4u,Hennur,"Dessert Parlor, Beverage Shop","Ice Cream, Beverages",150.0,No,No,3.2,27,Delivery
Panchamukhi Sagar,Banaswadi,Quick Bites,"North Indian, South Indian, Chinese",300.0,No,No,3.2,4,Delivery
